date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:12:31	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2020:12:30%20GMT	https://www.farmfundr.com/robots.txt		(from )
13:12:33	30475/30475	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:31%20GMT	https://www.farmfundr.com/	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/index.html	(from )
13:12:35	411568/411568	---M-Z	200	added ('OK')	text/css	etag:%22d6a22f83a9f0130264f375f96eea8345%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/css/farmfundr.webflow.01f2beadc.css	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/css/farmfundr.webflow.01f2beadc.css	(from https://www.farmfundr.com/)
13:12:37	13188/13188	---MC-	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	C:/My%20Web%20Sites/farmGold/ajax.googleapis.com/ajax/libs/webfont/1.6.26/webfont.js	(from https://www.farmfundr.com/)
13:12:37	1915/1915	---M--	200	added ('OK')	image/png	etag:%22064a509fb8015684bcff905f9b8d18b2%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5dca5f2c687c059a213370_FF_Icon_Small.png	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5dca5f2c687c059a213370_FF_Icon_Small.png	(from https://www.farmfundr.com/)
13:12:37	14599/14599	---M--	200	added ('OK')	image/png	etag:%220d93374602dde7acfae65e1d808c6b6d%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5dca642c687c5e72213375_FF_Icon_Large.png	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5dca642c687c5e72213375_FF_Icon_Large.png	(from https://www.farmfundr.com/)
13:12:39	137749/137749	---M-Z	200	added ('OK')	application/x-javascript	date:Sun,%2006%20Sep%202020%2020:12:38%20GMT	https://connect.facebook.net/en_US/fbevents.js	C:/My%20Web%20Sites/farmGold/connect.facebook.net/en_US/fbevents.js	(from https://www.farmfundr.com/)
13:12:39	61514/61514	---M--	200	added ('OK')	image/png	etag:%2261fb07920eec328ace19e8fcfa670cfd%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e59a0c0a67bd6d170e34c37_FarmFundrLogo-01.png	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e59a0c0a67bd6d170e34c37_FarmFundrLogo-01.png	(from https://www.farmfundr.com/)
13:12:41	13494/13494	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:39%20GMT	https://www.farmfundr.com/property	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/property.html	(from https://www.farmfundr.com/)
13:12:42	40812/40812	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:42%20GMT	https://www.farmfundr.com/guide-to-investing-in-agriculture	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/guide-to-investing-in-agriculture.html	(from https://www.farmfundr.com/)
13:12:43	35576/35576	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:43%20GMT	https://www.farmfundr.com/category/blog	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/category/blog.html	(from https://www.farmfundr.com/)
13:12:44	26115/26115	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:43%20GMT	https://www.farmfundr.com/about-us	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/about-us.html	(from https://www.farmfundr.com/)
13:12:45	28178/28178	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:44%20GMT	https://www.farmfundr.com/faqs	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/faqs.html	(from https://www.farmfundr.com/)
13:12:46	20179/20179	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:45%20GMT	https://www.farmfundr.com/media	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/media.html	(from https://www.farmfundr.com/)
13:12:47	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2020:12:46%20GMT	https://www.farmfundr.com/find-funding	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/find-funding	(from https://www.farmfundr.com/)
13:12:47	19412/19412	---M-Z	200	added ('OK')	text/html	date:Sun,%2006%20Sep%202020%2020:12:47%20GMT	https://www.farmfundr.com/custom-farmland-investments	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/custom-farmland-investments.html	(from https://www.farmfundr.com/)
13:12:48	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2020:12:48%20GMT	https://www.farmfundr.com/contact-us	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/contact-us	(from https://www.farmfundr.com/)
13:12:49	0/0	---M--	504	error ('GATEWAY_TIMEOUT')	text/html	date:Sun,%2006%20Sep%202020%2020:12:48%20GMT	https://www.farmfundr.com/%22https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e59a3ba2089e5a0bc82d59c_AlmondTreesFlyover-poster-00001.jpg%22	C:/My%20Web%20Sites/farmGold/www.farmfundr.com/_https_/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e59a3ba2089e5a0bc82d59c_AlmondTreesFlyover-poster-00001.jpg_	(from https://www.farmfundr.com/)
13:12:50	2702/2702	---M--	200	added ('OK')	image/png	etag:%2234f95506107d3112973f30d18ce65d15%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5ff19d7e7d8f479e62adc3_down-arrow.png	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e5ff19d7e7d8f479e62adc3_down-arrow.png	(from https://www.farmfundr.com/)
13:12:52	5842/5842	---M--	200	added ('OK')	image/png	etag:%224f8582802b2e4101ddab37d2fba63e2a%22	https://uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e62b3c758df44bfab6c7066_planet-earth.png	C:/My%20Web%20Sites/farmGold/uploads-ssl.webflow.com/5e5717f4fa858f1cafb8c9cc/5e62b3c758df44bfab6c7066_planet-earth.png	(from https://www.farmfundr.com/)
